orderid,saleamount,profitrate,profit,shippingdate,country,district,city,subclass,customer,discount,num,province,class,type,orderdate
CN-2017-3216455,250,13%,32,2017/9/6,中国,华东,厦门,美术,田黎明,0.00 ,1,福建,办公用品,公司,2017/9/3
CN-2017-4690757,834,48%,400,2017/9/21,中国,华东,宿州,纸张,谭乐,0.00 ,6,安徽,办公用品,消费者,2017/9/17
CN-2017-4690757,228,34%,78,2017/9/21,中国,华东,宿州,收纳具,谭乐,0.00 ,1,安徽,办公用品,消费者,2017/9/17
CN-2017-4690757,932,-23%,-211,2017/9/21,中国,华东,宿州,桌子,谭乐,0.25 ,1,安徽,家具,消费者,2017/9/17
CN-2017-4674220,292,37%,108,2017/7/5,中国,西北,兰州,纸张,徐岱,0.00 ,3,甘肃,办公用品,公司,2017/7/2
US-2017-3857264,9424,-22%,-2043,2017/8/1,中国,华东,淮阴,器具,武杰,0.40 ,6,江苏,办公用品,小型企业,2017/7/26
CN-2017-4054371,4128,40%,1651,2017/12/26,中国,东北,肇源,器具,吕兰,0.00 ,9,黑龙江,办公用品,消费者,2017/12/24
CN-2015-2932548,1935,0%,0,2015/5/22,中国,华东,南昌,收纳具,唐婉,0.00 ,2,江西,办公用品,小型企业,2015/5/17
CN-2015-2932548,267,19%,50,2015/5/22,中国,华东,南昌,美术,唐婉,0.00 ,4,江西,办公用品,小型企业,2015/5/17
CN-2017-3476344,698,34%,237,2017/7/20,中国,华东,合肥,装订机,葛毅,0.00 ,5,安徽,办公用品,消费者,2017/7/16
US-2017-5956361,272,-375%,-1021,2017/6/18,中国,西南,内江,美术,邹涛,0.80 ,6,四川,办公用品,公司,2017/6/16
US-2017-5956361,1781,13%,237,2017/6/18,中国,西南,内江,电话,邹涛,0.40 ,1,四川,技术,公司,2017/6/16
US-2017-5956361,357,42%,150,2017/6/18,中国,西南,内江,信封,邹涛,0.00 ,2,四川,办公用品,公司,2017/6/16
CN-2018-2396895,12183,11%,1340,2018/6/22,中国,东北,蛟河,电话,薛磊,0.00 ,4,吉林,技术,消费者,2018/6/19
CN-2018-2396895,2999,41%,1229,2018/6/22,中国,东北,蛟河,复印机,薛磊,0.00 ,2,吉林,技术,消费者,2018/6/19
CN-2018-2396895,510,44%,225,2018/6/22,中国,东北,蛟河,收纳具,薛磊,0.00 ,2,吉林,办公用品,消费者,2018/6/19
CN-2017-2828982,12641,28%,3539,2017/5/26,中国,华东,青岛,器具,苏晒明,0.00 ,5,山东,办公用品,消费者,2017/5/22
CN-2017-2828982,1359,16%,217,2017/5/26,中国,华东,青岛,器具,苏晒明,0.00 ,5,山东,办公用品,消费者,2017/5/22
CN-2017-2828982,143,48%,69,2017/5/26,中国,华东,青岛,收纳具,苏晒明,0.00 ,1,山东,办公用品,消费者,2017/5/22
US-2017-4297166,338,-38%,-130,2018/1/4,中国,东北,沈阳,用品,林丹,0.40 ,4,辽宁,办公用品,消费者,2017/12/31
US-2017-4297166,138,-52%,-72,2018/1/4,中国,东北,沈阳,系固件,林丹,0.40 ,5,辽宁,办公用品,消费者,2017/12/31
US-2017-4297166,122,-34%,-41,2018/1/4,中国,东北,沈阳,系固件,林丹,0.40 ,3,辽宁,办公用品,消费者,2017/12/31
US-2017-4292548,2314,-30%,-695,2017/10/7,中国,中南,黄石,书架,徐健,0.40 ,2,湖北,家具,公司,2017/10/1
CN-2018-4838467,1198,38%,455,2018/11/23,中国,西北,西安,收纳具,麦虹,0.00 ,2,陕西,办公用品,公司,2018/11/16
CN-2015-3232413,2955,39%,1152,2015/8/27,中国,中南,阳江,复印机,袁保,0.00 ,2,广东,技术,公司,2015/8/24
CN-2017-4162714,2775,12%,332,2017/6/10,中国,中南,邓州,设备,马丽娜,0.00 ,7,河南,技术,消费者,2017/6/7
CN-2015-4497265,277,48%,132,2015/1/23,中国,华东,曲阜,标签,谭君,0.00 ,5,山东,办公用品,公司,2015/1/21
CN-2015-4497265,256,20%,51,2015/1/23,中国,华东,曲阜,系固件,谭君,0.00 ,5,山东,办公用品,公司,2015/1/21
CN-2018-5922906,4784,8%,382,2018/9/17,中国,中南,湛江,设备,钱伟,0.00 ,4,广东,技术,公司,2018/9/15
US-2015-3767771,6901,-45%,-3106,2015/12/24,中国,中南,孝感,器具,陶武,0.40 ,8,湖北,办公用品,公司,2015/12/19
US-2015-1166331,498,-8%,-37,2015/11/1,中国,中南,浏阳,美术,陶聪,0.20 ,3,湖南,办公用品,消费者,2015/10/31
US-2015-1166331,391,6%,23,2015/11/1,中国,中南,浏阳,纸张,陶聪,0.00 ,3,湖南,办公用品,消费者,2015/10/31
CN-2017-3064620,3592,26%,934,2017/3/16,中国,东北,哈尔滨,配件,韩凤,0.00 ,3,黑龙江,技术,小型企业,2017/3/11
CN-2016-3188191,300,50%,150,2016/10/2,中国,华东,滕州,标签,涂博,0.00 ,5,山东,办公用品,消费者,2016/9/27
CN-2016-5717181,293,43%,125,2016/9/18,中国,华北,北京,信封,钟庆缘,0.00 ,5,北京,办公用品,小型企业,2016/9/15
CN-2016-5717181,572,11%,63,2016/9/18,中国,华北,北京,书架,钟庆缘,0.00 ,1,北京,家具,小型企业,2016/9/15
CN-2018-2187292,1930,42%,811,2018/10/28,中国,西南,重庆,电话,孟刚,0.00 ,3,重庆,技术,公司,2018/10/26
CN-2018-2187292,527,9%,47,2018/10/28,中国,西南,重庆,信封,孟刚,0.00 ,3,重庆,办公用品,公司,2018/10/26
CN-2018-2187292,2975,20%,595,2018/10/28,中国,西南,重庆,电话,孟刚,0.00 ,1,重庆,技术,公司,2018/10/26
US-2015-3275681,658,-5%,-33,2015/2/6,中国,华东,椒江,用品,黄丽,0.40 ,5,浙江,办公用品,消费者,2015/2/2
CN-2015-5821791,150,16%,24,2015/12/27,中国,西北,西安,系固件,倪幂,0.00 ,2,陕西,办公用品,消费者,2015/12/23
CN-2015-5821791,99,17%,16,2015/12/27,中国,西北,西安,标签,倪幂,0.00 ,3,陕西,办公用品,消费者,2015/12/23
CN-2015-5821791,78,21%,16,2015/12/27,中国,西北,西安,标签,倪幂,0.00 ,2,陕西,办公用品,消费者,2015/12/23
CN-2017-4126497,612,14%,84,2017/3/16,中国,华东,南昌,标签,钱珊,0.00 ,14,江西,办公用品,公司,2017/3/11
CN-2017-4126497,121,30%,36,2017/3/16,中国,华东,南昌,用品,钱珊,0.00 ,2,江西,办公用品,公司,2017/3/11
CN-2017-1751343,2443,18%,440,2017/8/8,中国,西北,西安,复印机,彭雯,0.00 ,2,陕西,技术,消费者,2017/8/8
US-2016-1803838,697,-57%,-395,2016/8/27,中国,东北,叶柏寿,复印机,谢雯,0.40 ,2,辽宁,技术,小型企业,2016/8/22
US-2016-1803838,58,45%,26,2016/8/27,中国,东北,叶柏寿,标签,谢雯,0.00 ,3,辽宁,办公用品,小型企业,2016/8/22
CN-2015-4861225,571,34%,194,2015/6/6,中国,华东,上海,信封,韦立,0.00 ,7,上海,办公用品,消费者,2015/6/1
CN-2015-4861225,589,21%,123,2015/6/6,中国,华东,上海,用具,韦立,0.00 ,5,上海,家具,消费者,2015/6/1
CN-2018-3172853,302,15%,45,2018/6/2,中国,西北,西宁,标签,熊丽,0.00 ,6,青海,办公用品,公司,2018/5/28
CN-2017-5552260,1930,10%,193,2017/7/26,中国,西南,绵阳,用具,曾康,0.40 ,6,四川,家具,消费者,2017/7/26
US-2015-1357144,7327,-50%,-3664,2015/12/18,中国,中南,武汉,电话,郝升,0.40 ,4,湖北,技术,消费者,2015/12/14
CN-2015-5926511,42,24%,10,2015/11/22,中国,西北,韩城,装订机,程聪,0.00 ,2,陕西,办公用品,消费者,2015/11/17
CN-2015-5926511,665,28%,186,2015/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,3,陕西,办公用品,消费者,2015/11/17
CN-2015-5926511,567,43%,244,2015/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,2,陕西,办公用品,消费者,2015/11/17
CN-2015-5926511,580,44%,255,2015/11/22,中国,西北,韩城,收纳具,程聪,0.00 ,2,陕西,办公用品,消费者,2015/11/17
US-2018-4733722,399,-57%,-226,2018/5/24,中国,华东,盐城,用品,顾黎明,0.40 ,3,江苏,办公用品,消费者,2018/5/21
US-2018-4733722,1183,-3%,-39,2018/5/24,中国,华东,盐城,椅子,顾黎明,0.40 ,5,江苏,家具,消费者,2018/5/21
US-2018-4733722,277,-5%,-14,2018/5/24,中国,华东,盐城,系固件,顾黎明,0.40 ,5,江苏,办公用品,消费者,2018/5/21
US-2018-4733722,665,10%,66,2018/5/24,中国,华东,盐城,信封,顾黎明,0.00 ,3,江苏,办公用品,消费者,2018/5/21
US-2018-4733722,29,-215%,-63,2018/5/24,中国,华东,盐城,美术,顾黎明,0.80 ,2,江苏,办公用品,消费者,2018/5/21
CN-2018-5834341,2187,28%,612,2018/11/14,中国,中南,南宁,设备,马惠英,0.00 ,4,广西,技术,公司,2018/11/10
CN-2016-1973789,606,8%,48,2016/1/28,中国,华东,泉州,用品,涂博,0.00 ,3,福建,办公用品,消费者,2016/1/25
CN-2016-1973789,721,31%,223,2016/1/28,中国,华东,泉州,器具,涂博,0.00 ,4,福建,办公用品,消费者,2016/1/25
CN-2018-3766882,249,49%,122,2018/11/18,中国,华北,天津,用品,巩松,0.00 ,2,天津,办公用品,小型企业,2018/11/14
CN-2018-3665640,186,0%,0,2018/10/28,中国,华北,天津,装订机,孙辉,0.00 ,3,天津,办公用品,小型企业,2018/10/23
CN-2018-3665640,2316,3%,69,2018/10/28,中国,华北,天津,用具,孙辉,0.00 ,9,天津,家具,小型企业,2018/10/23
CN-2018-3665640,2153,44%,947,2018/10/28,中国,华北,天津,椅子,孙辉,0.00 ,1,天津,家具,小型企业,2018/10/23
CN-2016-5378913,2607,6%,156,2016/10/12,中国,东北,七台河,椅子,彭伟,0.00 ,7,黑龙江,家具,小型企业,2016/10/10
CN-2016-5378913,803,12%,96,2016/10/12,中国,东北,七台河,配件,彭伟,0.00 ,4,黑龙江,技术,小型企业,2016/10/10
CN-2017-2045726,546,15%,82,2017/10/18,中国,华东,徐州,用品,巩关茵,0.40 ,5,江苏,办公用品,公司,2017/10/17
CN-2017-2045726,4454,-33%,-1485,2017/10/18,中国,华东,徐州,复印机,巩关茵,0.40 ,6,江苏,技术,公司,2017/10/17
CN-2018-2328434,346,5%,17,2018/9/15,中国,华东,扬州,纸张,黄娟,0.00 ,3,江苏,办公用品,消费者,2018/9/12
CN-2017-3984376,86,45%,38,2017/8/7,中国,华北,北京,装订机,陈莲,0.00 ,3,北京,办公用品,公司,2017/8/5
CN-2018-5057492,1446,2%,29,2018/2/2,中国,中南,株洲,器具,韦锦,0.00 ,1,湖南,办公用品,消费者,2018/1/28
CN-2018-1118317,913,39%,356,2018/5/25,中国,东北,青冈,电话,谭珊,0.00 ,3,黑龙江,技术,消费者,2018/5/20
CN-2017-1498643,2417,42%,1015,2017/6/22,中国,华东,新泰,配件,牛德伟,0.00 ,2,山东,技术,消费者,2017/6/22
CN-2017-1498643,1149,26%,298,2017/6/22,中国,华东,新泰,用品,牛德伟,0.00 ,5,山东,办公用品,消费者,2017/6/22
US-2018-4595101,140,-240%,-337,2018/2/24,中国,华东,仪征,美术,马惠英,0.80 ,6,江苏,办公用品,公司,2018/2/21
US-2018-4595101,108,12%,13,2018/2/24,中国,华东,仪征,装订机,马惠英,0.40 ,3,江苏,办公用品,公司,2018/2/21
CN-2016-3269021,490,34%,166,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,6,江苏,办公用品,消费者,2016/10/8
CN-2016-3269021,302,-57%,-171,2016/10/8,中国,华东,镇江,设备,冯丽丽,0.40 ,1,江苏,技术,消费者,2016/10/8
CN-2016-3269021,278,10%,28,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,2,江苏,办公用品,消费者,2016/10/8
CN-2016-3269021,1160,15%,173,2016/10/8,中国,华东,镇江,配件,冯丽丽,0.40 ,4,江苏,技术,消费者,2016/10/8
CN-2016-3269021,1302,-15%,-196,2016/10/8,中国,华东,镇江,电话,冯丽丽,0.40 ,7,江苏,技术,消费者,2016/10/8
CN-2016-3269021,2778,8%,222,2016/10/8,中国,华东,镇江,收纳具,冯丽丽,0.00 ,3,江苏,办公用品,消费者,2016/10/8
CN-2016-3269021,213,46%,97,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.00 ,4,江苏,办公用品,消费者,2016/10/8
CN-2016-3269021,204,-23%,-48,2016/10/8,中国,华东,镇江,用品,冯丽丽,0.40 ,2,江苏,办公用品,消费者,2016/10/8
CN-2016-2594036,731,8%,61,2016/2/21,中国,华东,杭州,椅子,雷木兰,0.40 ,2,浙江,家具,消费者,2016/2/15
US-2015-3737485,557,-62%,-344,2015/12/26,中国,华东,杭州,配件,马惠英,0.40 ,5,浙江,技术,公司,2015/12/24
CN-2017-3815654,3037,44%,1336,2017/3/4,中国,中南,禹州,复印机,丁妮,0.00 ,5,河南,技术,公司,2017/2/27
US-2018-2352370,1402,-12%,-164,2018/9/17,中国,东北,沈阳,配件,沈聪,0.40 ,6,辽宁,技术,消费者,2018/9/11
US-2018-2352370,1516,-45%,-683,2018/9/17,中国,东北,沈阳,装订机,沈聪,0.40 ,11,辽宁,办公用品,消费者,2018/9/11
CN-2016-2554132,478,12%,57,2016/7/17,中国,中南,珠海,标签,吕凤,0.00 ,9,广东,办公用品,小型企业,2016/7/17
CN-2017-4214287,78,45%,35,2017/11/17,中国,西南,重庆,标签,倪幂,0.00 ,4,重庆,办公用品,消费者,2017/11/12
CN-2017-4214287,72,23%,17,2017/11/17,中国,西南,重庆,装订机,倪幂,0.00 ,4,重庆,办公用品,消费者,2017/11/12
US-2018-4736051,551,-52%,-285,2018/1/22,中国,西北,肃州,装订机,杨健,0.40 ,4,甘肃,办公用品,消费者,2018/1/17
CN-2016-2084652,6665,8%,555,2016/10/11,中国,华东,常州,椅子,薛婷,0.40 ,5,江苏,家具,消费者,2016/10/5
CN-2016-2084652,353,-47%,-165,2016/10/11,中国,华东,常州,用具,薛婷,0.40 ,3,江苏,家具,消费者,2016/10/5
CN-2016-2084652,101,32%,32,2016/10/11,中国,华东,常州,标签,薛婷,0.00 ,2,江苏,办公用品,消费者,2016/10/5
US-2016-1904299,96,-37%,-35,2016/2/22,中国,华东,张家港,系固件,牛晒明,0.40 ,2,江苏,办公用品,小型企业,2016/2/16
CN-2018-3211633,3847,4%,154,2018/4/10,中国,中南,长沙,书架,彭绅,0.00 ,2,湖南,家具,公司,2018/4/9
CN-2018-3211633,7402,36%,2664,2018/4/10,中国,中南,长沙,器具,彭绅,0.00 ,3,湖南,办公用品,公司,2018/4/9
US-2015-5294254,436,-17%,-73,2015/10/28,中国,华东,杭州,用具,罗嫒,0.40 ,3,浙江,家具,小型企业,2015/10/28
CN-2017-3988119,310,1%,2,2017/4/20,中国,西南,昭通,信封,袁保,0.00 ,8,云南,办公用品,公司,2017/4/16
CN-2018-3232413,800,18%,144,2018/12/4,中国,东北,密山,椅子,杨健,0.00 ,2,黑龙江,家具,消费者,2018/12/4
CN-2018-3232413,332,0%,0,2018/12/4,中国,东北,密山,收纳具,杨健,0.00 ,3,黑龙江,办公用品,消费者,2018/12/4
CN-2018-3232413,457,26%,118,2018/12/4,中国,东北,密山,纸张,杨健,0.00 ,3,黑龙江,办公用品,消费者,2018/12/4
CN-2018-4680780,156,11%,17,2018/7/31,中国,华东,临朐,标签,陈安,0.00 ,3,山东,办公用品,消费者,2018/7/24
CN-2017-1190387,592,27%,160,2017/11/7,中国,东北,肇源,复印机,苏晒明,0.00 ,1,黑龙江,技术,消费者,2017/11/4
CN-2017-3230180,381,25%,95,2017/10/28,中国,西南,海口,用品,贺平,0.00 ,2,海南,办公用品,消费者,2017/10/22
CN-2017-3230180,1103,22%,242,2017/10/28,中国,西南,海口,用具,贺平,0.00 ,5,海南,家具,消费者,2017/10/22
CN-2017-3230180,139,10%,14,2017/10/28,中国,西南,海口,信封,贺平,0.00 ,1,海南,办公用品,消费者,2017/10/22
CN-2016-5873075,15526,7%,1086,2016/10/20,中国,东北,肇源,器具,施丽丽,0.00 ,11,黑龙江,办公用品,公司,2016/10/15
CN-2017-4544243,278,10%,28,2017/9/20,中国,中南,襄城,信封,贺斯云,0.00 ,2,河南,办公用品,消费者,2017/9/18
CN-2017-4544243,1989,38%,751,2017/9/20,中国,中南,襄城,椅子,贺斯云,0.10 ,1,河南,家具,消费者,2017/9/18
CN-2016-5173564,235,21%,50,2016/12/10,中国,东北,鹤岗,美术,秦淑芳,0.20 ,4,黑龙江,办公用品,公司,2016/12/5
CN-2018-4862116,379,20%,76,2018/5/11,中国,华北,天津,用品,顾丹,0.00 ,3,天津,办公用品,公司,2018/5/6
US-2017-2560726,1117,-3%,-38,2017/5/7,中国,华东,温州,电话,康丽,0.40 ,6,浙江,技术,消费者,2017/5/2
CN-2018-4950934,596,26%,155,2018/11/3,中国,东北,四平,用具,秦宁,0.00 ,3,吉林,家具,消费者,2018/10/29
CN-2018-4950934,130,42%,55,2018/11/3,中国,东北,四平,系固件,秦宁,0.00 ,2,吉林,办公用品,消费者,2018/10/29
CN-2018-2866628,2130,14%,298,2018/5/20,中国,西南,安顺,电话,贺宁,0.00 ,5,贵州,技术,消费者,2018/5/14
CN-2018-2866628,717,29%,207,2018/5/20,中国,西南,安顺,收纳具,贺宁,0.00 ,5,贵州,办公用品,消费者,2018/5/14
CN-2018-2866628,299,20%,60,2018/5/20,中国,西南,安顺,配件,贺宁,0.00 ,2,贵州,技术,消费者,2018/5/14
CN-2016-2810282,1358,21%,285,2016/5/24,中国,华东,高密,复印机,巩安,0.00 ,2,山东,技术,小型企业,2016/5/20
CN-2018-3381572,30,13%,4,2018/5/11,中国,东北,抚顺,系固件,田谙,0.40 ,1,辽宁,办公用品,消费者,2018/5/11
CN-2018-3381572,1054,42%,442,2018/5/11,中国,东北,抚顺,纸张,田谙,0.00 ,5,辽宁,办公用品,消费者,2018/5/11
CN-2018-3381572,351,-52%,-181,2018/5/11,中国,东北,抚顺,器具,田谙,0.40 ,2,辽宁,办公用品,消费者,2018/5/11
CN-2018-3381572,251,19%,48,2018/5/11,中国,东北,抚顺,收纳具,田谙,0.00 ,5,辽宁,办公用品,消费者,2018/5/11
CN-2018-3381572,7567,-30%,-2270,2018/5/11,中国,东北,抚顺,器具,田谙,0.40 ,5,辽宁,办公用品,消费者,2018/5/11
CN-2018-3381572,1002,-65%,-652,2018/5/11,中国,东北,抚顺,设备,田谙,0.40 ,3,辽宁,技术,消费者,2018/5/11
CN-2018-3381572,781,-5%,-39,2018/5/11,中国,东北,抚顺,电话,田谙,0.40 ,2,辽宁,技术,消费者,2018/5/11
CN-2018-3381572,320,-17%,-53,2018/5/11,中国,东北,抚顺,用具,田谙,0.40 ,4,辽宁,家具,消费者,2018/5/11
CN-2018-3381572,386,0%,0,2018/5/11,中国,东北,抚顺,椅子,田谙,0.40 ,3,辽宁,家具,消费者,2018/5/11
CN-2018-3381572,75,-7%,-5,2018/5/11,中国,东北,抚顺,装订机,田谙,0.40 ,2,辽宁,办公用品,消费者,2018/5/11
CN-2017-2491194,295,19%,55,2017/11/4,中国,东北,洮南,美术,徐蔓楚,0.20 ,3,吉林,办公用品,公司,2017/10/30
CN-2016-5591357,2395,29%,694,2016/3/25,中国,西北,西安,复印机,巩虢,0.00 ,3,陕西,技术,公司,2016/3/22
CN-2018-5816959,53,44%,23,2018/2/16,中国,西南,德阳,标签,陈丽雪,0.00 ,1,四川,办公用品,公司,2018/2/11
CN-2018-5816959,205,12%,24,2018/2/16,中国,西南,德阳,信封,陈丽雪,0.00 ,3,四川,办公用品,公司,2018/2/11
CN-2018-5816959,1085,-27%,-290,2018/2/16,中国,西南,德阳,装订机,陈丽雪,0.40 ,8,四川,办公用品,公司,2018/2/11
CN-2017-1122727,8470,21%,1807,2017/3/3,中国,华北,运城,桌子,佘凤,0.25 ,5,山西,家具,公司,2017/2/27
CN-2018-3122639,1610,26%,418,2018/5/11,中国,中南,浯溪,配件,曾惠,0.00 ,3,湖南,技术,公司,2018/5/8
CN-2018-3122639,6987,-32%,-2236,2018/5/11,中国,中南,浯溪,桌子,曾惠,0.25 ,4,湖南,家具,公司,2018/5/8
CN-2017-2866628,251,19%,48,2017/8/22,中国,华东,杭州,收纳具,谢聪,0.00 ,5,浙江,办公用品,消费者,2017/8/18
CN-2017-2062805,2914,4%,116,2017/5/26,中国,华东,南昌,设备,田妮,0.00 ,2,江西,技术,小型企业,2017/5/22
US-2018-5448418,515,-10%,-52,2018/9/16,中国,东北,鞍山,器具,严诚,0.40 ,5,辽宁,办公用品,公司,2018/9/11
US-2018-5448418,5423,-47%,-2531,2018/9/16,中国,东北,鞍山,电话,严诚,0.40 ,3,辽宁,技术,公司,2018/9/11
CN-2018-3022026,269,39%,105,2018/6/23,中国,中南,深圳,系固件,姚柏,0.00 ,3,广东,办公用品,消费者,2018/6/19
CN-2015-1928578,197,7%,14,2015/9/14,中国,西北,兰州,信封,许绅,0.00 ,2,甘肃,办公用品,消费者,2015/9/13
CN-2015-1928578,352,5%,17,2015/9/14,中国,西北,兰州,系固件,许绅,0.40 ,10,甘肃,办公用品,消费者,2015/9/13
CN-2015-1928578,67,-50%,-34,2015/9/14,中国,西北,兰州,装订机,许绅,0.40 ,3,甘肃,办公用品,消费者,2015/9/13
CN-2015-2648094,7332,36%,2639,2015/11/12,中国,中南,廉洲,复印机,彭雯,0.00 ,6,广东,技术,消费者,2015/11/7
CN-2015-2648094,3166,43%,1361,2015/11/12,中国,中南,廉洲,电话,彭雯,0.00 ,4,广东,技术,消费者,2015/11/7
CN-2016-5172330,146,20%,29,2016/5/18,中国,华北,石家庄,纸张,徐关茵,0.00 ,2,河北,办公用品,公司,2016/5/12
US-2015-1900777,163,-52%,-84,2015/12/31,中国,华北,包头,系固件,苏冬露,0.40 ,3,内蒙古,办公用品,小型企业,2015/12/26
US-2015-1900777,33,-28%,-9,2015/12/31,中国,华北,包头,装订机,苏冬露,0.40 ,3,内蒙古,办公用品,小型企业,2015/12/26
US-2015-1900777,287,29%,83,2015/12/31,中国,华北,包头,收纳具,苏冬露,0.00 ,2,内蒙古,办公用品,小型企业,2015/12/26
US-2015-1900777,1276,44%,561,2015/12/31,中国,华北,包头,收纳具,苏冬露,0.00 ,5,内蒙古,办公用品,小型企业,2015/12/26
US-2015-1900777,1198,44%,527,2015/12/31,中国,华北,包头,信封,苏冬露,0.00 ,5,内蒙古,办公用品,小型企业,2015/12/26
US-2015-1900777,339,12%,39,2015/12/31,中国,华北,包头,设备,苏冬露,0.40 ,1,内蒙古,技术,小型企业,2015/12/26
